id,latitude,longitude,destino_nome,peso,prazo
1,-3.10,-60.02,"Manaus",800.0,25
2,-8.05,-34.88,"Recife",350.5,15
3,-22.91,-43.20,"Rio de Janeiro",950.7,10
4,-23.55,-46.64,"São Paulo",720.3,8
5,-19.92,-43.94,"Belo Horizonte",630.0,12
6,-15.78,-47.93,"Brasília",550.2,14
7,-30.03,-51.23,"Porto Alegre",480.9,18
8,-12.97,-38.51,"Salvador",690.8,16
9,-25.43,-49.27,"Curitiba",510.0,11
10,-16.68,-49.26,"Goiânia",430.5,13
11,-2.53,-44.30,"São Luís",380.0,20
12,-9.97,-67.81,"Rio Branco",250.8,30
13,-27.60,-48.55,"Florianópolis",520.2,14
14,-7.12,-34.88,"João Pessoa",340.0,17
15,-3.73,-38.53,"Fortaleza",590.5,19
16,-9.67,-35.74,"Maceió",410.3,18
17,-8.76,-63.90,"Porto Velho",320.0,26
18,-5.09,-42.80,"Teresina",360.9,21
19,-20.45,-54.62,"Campo Grande",440.6,22
20,-15.60,-56.10,"Cuiabá",510.0,24
21,-1.46,-48.49,"Belém",670.4,23
22,-10.94,-37.07,"Aracaju",290.7,19
23,-22.91,-47.06,"Campinas",580.3,9
24,-12.26,-38.96,"Feira de Santana",320.8,16
25,-23.50,-46.86,"Osasco",370.5,8
26,-20.80,-49.38,"São José do Rio Preto",400.0,10
27,-19.76,-47.94,"Uberaba",330.2,11
28,-20.55,-47.40,"Franca",290.0,12
29,-7.22,-35.88,"Campina Grande",280.7,18
30,-22.31,-49.07,"Bauru",310.0,9
31,-21.18,-47.81,"Ribeirão Preto",520.4,10
32,-22.75,-45.11,"São José dos Campos",470.2,9
33,-16.33,-48.95,"Anápolis",280.0,14
34,-9.41,-40.50,"Petrolina",360.0,17
35,-24.96,-53.46,"Cascavel",300.8,15
36,-23.52,-47.46,"Sorocaba",430.5,9
37,-3.85,-32.42,"Fernando de Noronha",120.0,30
38,-20.34,-40.29,"Vitória",550.7,14
39,-22.40,-42.98,"Petrópolis",290.0,11
40,-23.17,-45.89,"Taubaté",350.5,10
41,-4.27,-41.79,"Picos",240.9,21
42,-15.64,-56.09,"Várzea Grande",310.0,24
43,-8.05,-34.95,"Olinda",290.0,15
