CMDLINE C:\Users\TutuWork\AppData\Local\Programs\Python\Python313\python.exe main.py
MEM 1.628906 1745540106.9750
MEM 20.304688 1745540107.0753
MEM 24.300781 1745540107.1758
MEM 24.671875 1745540107.2764
MEM 24.921875 1745540107.3769
MEM 25.246094 1745540107.4773
MEM 25.375000 1745540107.5778
MEM 25.375000 1745540107.6785
MEM 25.378906 1745540107.7788
MEM 25.378906 1745540107.8790
MEM 25.378906 1745540107.9799
MEM 25.378906 1745540108.0803
MEM 25.378906 1745540108.1807
MEM 25.378906 1745540108.2873
MEM 25.378906 1745540108.3878
MEM 25.378906 1745540108.4880
MEM 25.378906 1745540108.5882
MEM 25.378906 1745540108.6889
MEM 25.378906 1745540108.7895
MEM 25.390625 1745540108.8902
MEM 25.398438 1745540108.9908
MEM 25.398438 1745540109.0917
MEM 25.398438 1745540109.1928
MEM 25.398438 1745540109.2934
MEM 25.398438 1745540109.3937
MEM 25.398438 1745540109.4945
MEM 25.398438 1745540109.5948
MEM 25.398438 1745540109.6959
MEM 25.398438 1745540109.7961
MEM 25.398438 1745540109.8963
MEM 25.398438 1745540109.9966
MEM 25.398438 1745540110.0977
MEM 25.398438 1745540110.1988
MEM 25.398438 1745540110.2993
MEM 25.398438 1745540110.3998
MEM 25.398438 1745540110.5005
MEM 25.398438 1745540110.6014
MEM 25.398438 1745540110.7018
MEM 25.398438 1745540110.8022
MEM 25.398438 1745540110.9024
MEM 25.398438 1745540111.0034
MEM 25.398438 1745540111.1038
MEM 25.398438 1745540111.2044
MEM 25.410156 1745540111.3048
MEM 25.410156 1745540111.4083
MEM 25.410156 1745540111.5085
MEM 25.410156 1745540111.6096
MEM 25.410156 1745540111.7108
MEM 25.410156 1745540111.8115
MEM 25.410156 1745540111.9117
MEM 25.410156 1745540112.0126
MEM 25.410156 1745540112.1134
MEM 25.410156 1745540112.2136
MEM 25.410156 1745540112.3143
MEM 25.410156 1745540112.4145
MEM 25.410156 1745540112.5147
MEM 25.410156 1745540112.6158
MEM 25.410156 1745540112.7161
MEM 25.410156 1745540112.8169
MEM 25.410156 1745540112.9176
MEM 25.410156 1745540113.0178
MEM 25.410156 1745540113.1180
MEM 25.410156 1745540113.2188
MEM 25.414062 1745540113.3198
MEM 25.414062 1745540113.4204
MEM 25.414062 1745540113.5206
MEM 25.414062 1745540113.6214
MEM 25.414062 1745540113.7216
MEM 25.414062 1745540113.8224
MEM 25.414062 1745540113.9226
MEM 25.414062 1745540114.0229
MEM 25.414062 1745540114.1237
MEM 25.414062 1745540114.2247
MEM 25.414062 1745540114.3250
MEM 25.414062 1745540114.4253
MEM 25.414062 1745540114.5259
MEM 25.414062 1745540114.6262
MEM 25.414062 1745540114.7265
MEM 25.414062 1745540114.8273
MEM 25.414062 1745540114.9276
MEM 25.414062 1745540115.0281
MEM 25.414062 1745540115.1288
MEM 25.414062 1745540115.2293
MEM 25.414062 1745540115.3297
MEM 25.414062 1745540115.4307
MEM 25.414062 1745540115.5313
MEM 25.414062 1745540115.6316
MEM 25.414062 1745540115.7318
MEM 25.414062 1745540115.8325
MEM 25.414062 1745540115.9333
MEM 25.414062 1745540116.0335
MEM 25.414062 1745540116.1338
MEM 25.414062 1745540116.2347
MEM 25.414062 1745540116.3359
MEM 25.414062 1745540116.4367
MEM 25.414062 1745540116.5376
MEM 25.414062 1745540116.6379
MEM 25.414062 1745540116.7390
MEM 25.414062 1745540116.8394
MEM 25.414062 1745540116.9402
MEM 25.414062 1745540117.0405
MEM 25.414062 1745540117.1412
MEM 25.414062 1745540117.2414
MEM 25.414062 1745540117.3422
MEM 25.414062 1745540117.4430
MEM 25.414062 1745540117.5433
MEM 25.414062 1745540117.6439
MEM 25.414062 1745540117.7442
MEM 25.414062 1745540117.8446
MEM 25.414062 1745540117.9448
MEM 25.414062 1745540118.0456
MEM 25.414062 1745540118.1459
MEM 25.414062 1745540118.2462
MEM 25.414062 1745540118.3465
MEM 25.414062 1745540118.4472
MEM 25.414062 1745540118.5475
MEM 25.414062 1745540118.6483
MEM 25.414062 1745540118.7492
MEM 25.414062 1745540118.8494
MEM 25.414062 1745540118.9505
MEM 25.414062 1745540119.0513
MEM 25.414062 1745540119.1515
MEM 25.417969 1745540119.2522
MEM 25.425781 1745540119.3524
MEM 25.425781 1745540119.4526
MEM 25.425781 1745540119.5533
MEM 25.425781 1745540119.6541
MEM 25.425781 1745540119.7551
MEM 25.425781 1745540119.8554
MEM 25.425781 1745540119.9556
MEM 25.425781 1745540120.0564
MEM 25.425781 1745540120.1571
MEM 25.425781 1745540120.2576
MEM 25.425781 1745540120.3587
MEM 25.425781 1745540120.4589
MEM 25.425781 1745540120.5592
MEM 25.425781 1745540120.6601
MEM 25.425781 1745540120.7604
MEM 25.425781 1745540120.8611
MEM 25.425781 1745540120.9613
MEM 25.425781 1745540121.0621
MEM 25.425781 1745540121.1623
MEM 25.425781 1745540121.2626
